CoverpointWildcardBinExpr	extract_coverpoint_wildcard_bin_expr
CrossIdBinsSelectExpr	extract_cross_id_bins_select_expr
CycleDelayControl	extract_cycle_delay_control
CycleDelayControlStatement	extract_cycle_delay_control_statement
CycleDelayExpr	extract_cycle_delay_expr
CycleDelayExpression	extract_cycle_delay_expression
CycleDelayTimingControl	extract_cycle_delay_timing_control
DPIOpenArrayDimension	extract_dpi_open_array_dimension
DataType	extract_data_type
DeassignStatement	extract_deassign_stmt
DecrementAssignmentExpr	extract_decrement_assignment_expr
DefaultPattern	extract_default_pattern
DefaultPatternExpression	extract_default_pattern_expr
DeferredAssertStatementExpression	extract_deferred_assert_stmt_expr
DeferredAssumeStatementExpression	extract_deferred_assume_stmt_expr
DeferredCoverStatementExpression	extract_deferred_cover_stmt_expr
DeferredImmediateAssertionStatement	extract_deferred_immediate_assertion
Delay3TimingControl	extract_delay3_timing_control
DelayControlExpr	extract_delay_control_expr
DelayControlExpression	extract_delay_control_expression
DelayControlStatement	extract_delay_control_statement
DelayOrEventControl	extract_delay_or_event_control
DelayTimingControl	extract_delay_timing_control
DescendingRangeSelectExpr	extract_descending_range_select_expr
DirectiveTrivia	extract_directive_trivia
DisableForkStatementExpression	extract_disable_fork_expression
DisableIffAssertExpression	extract_disable_iff_assert_expr
DisableStatementExpression	extract_disable_stmt_expression
DisabledTextTrivia	extract_disabled_text_trivia
DistConstraintExpr	extract_dist_constraint_expr
DistExpression	extract_dist
DistributionConstraint	extract_distribution_constraint
DivideExpr	extract_divide_expr_stmt
DoWhileLoopStatement	extract_do_while_loop_statement
DoWhileStatementExpression	extract_do_while_expression
DynamicArrayCastExpr	extract_dynamic_array_cast_expr
DynamicDimension	extract_dynamic_dimension
ElseConstraint	extract_else_constraint
EmptyExpression	extract_empty_expression
EmptyProperty	extract_empty_property
EmptySequence	extract_empty_sequence
EmptyStatementExpression	extract_empty_stmt_expression
EndOfLineTrivia	extract_end_of_line_trivia
EqualityExpr	extract_equality_expr
ErrorElabSystemTask	extract_error_elab_system_task
EventControlExpr	extract_event_control_expr
EventControlExpression	extract_event_control_expression
EventControlStatement	extract_event_control_statement
EventExpression	extract_event_expression
EventListTimingControl	extract_event_list_timing_control
EventStatementExpression	extract_event_statement_expression
EventTriggerExpression	extract_event_trigger
